title,release_date,pageid,qid,rating,popularity,revenue,total_pageview
Big Fish,2003-12-25,431014,Q278997,7.761,18.982,123218424,235063
50 First Dates,2004-02-13,477099,Q241482,6.844,36.466,196482882,308916
Train to Busan,2016-07-20,50461635,Q20948236,7.8,49.553,87547518,239792
Superbad,2007-03-20,6254878,Q679611,7.229,51.547,170812526,321890
Jurassic Park III,2001-07-18,473273,Q1102220,6.126,1.49,368780809,192642
Cloverfield,2008-01-15,12064359,Q123742,6.672,29.625,170764026,362460
Thor: Love and Thunder,2022-07-06,60754840,Q65768604,6.517,117.087,760928081,361717
Little Miss Sunshine,2006-07-26,7047921,Q192073,7.677,16.375,100523181,217919
Children of Men,2006-09-22,3793631,Q221090,7.605,28.409,70595464,343409
Easy A,2010-09-16,23438736,Q817266,6.811,26.846,75026327,208929
Marriage Story,2019-09-28,56172845,Q48671199,7.753,16.594,2300000,187955
The Mummy Returns,2001-05-04,957359,Q320461,6.358,45.092,443280904,183481
Brokeback Mountain,2005-09-10,1623960,Q160618,7.799,31.516,178043761,704348
Night at the Museum: Battle of the Smithsonian,2009-05-20,18764957,Q476726,6.1,27.683,413106170,110755
Seven Pounds,2008-12-18,15762321,Q635924,7.613,32.144,168167691,179125
Jupiter Ascending,2015-02-04,37599043,Q12125299,5.433,53.857,183987723,178607
Scary Movie,2000-07-07,277667,Q219424,6.336,64.01,278019771,314384
Hansel & Gretel: Witch Hunters,2013-01-17,27223546,Q498287,6.029,61.884,226349749,57822
The Last Samurai,2003-12-05,228274,Q207130,7.574,37.549,456758981,265027
The Expendables 2,2012-08-08,33276254,Q210812,6.323,59.833,314975955,76495
mother!,2017-09-13,48213513,Q25339558,7.0,24.705,44516999,373543
Hachi: A Dog's Tale,2009-06-08,18571859,Q59249,8.006,34.409,46749646,215918
Oz the Great and Powerful,2013-03-07,32427039,Q590216,5.903,29.84,491868548,382508
Rise of the Guardians,2012-11-21,23399828,Q136625,7.36,36.796,306941670,155091
Star Trek Beyond,2016-07-07,43697026,Q15929448,6.781,47.927,343471816,220355
The Fast and the Furious: Tokyo Drift,2006-06-03,2913859,Q213208,6.454,11.096,158964610,231390
Olympus Has Fallen,2013-03-20,37052715,Q3010512,6.394,41.289,170270201,196130
Pitch Perfect,2012-09-28,34086866,Q137584,7.295,25.464,115400000,242893
After Earth,2013-05-30,34429259,Q1254088,5.191,24.446,243843127,155454
The Irishman,2019-11-01,43792007,Q29057443,7.615,23.095,968853,500202
Taken 2,2012-09-27,35874076,Q1057015,6.3,47.042,376141306,107487
Mission: Impossible III,2006-04-25,2021700,Q288173,6.722,45.484,398479497,194901
Midsommar,2019-07-03,58032225,Q55907451,7.162,32.581,47969371,1020855
Beetlejuice,1988-03-30,293524,Q320384,7.384,41.633,74714298,3041413
28 Days Later,2002-10-31,145892,Q221075,7.202,37.355,85720385,921117
Terminator 3: Rise of the Machines,2003-07-02,225615,Q29054009,6.145,36.434,435000000,203525
The Age of Adaline,2015-04-16,41919736,Q16242543,7.469,27.069,65663276,824147
Gangs of New York,2002-12-14,188902,Q154581,7.318,31.711,193772504,406106
"Lock, Stock and Two Smoking Barrels",1998-08-28,210151,Q851095,8.126,10.5,28356188,111376
300: Rise of an Empire,2014-03-05,35718038,Q400332,6.093,38.678,337580051,176919
A Good Day to Die Hard,2013-02-06,34228306,Q72276,5.3,88.883,304654182,126741
Love Actually,2003-09-07,370064,Q190588,7.1,23.456,244931766,601250
The Purge: Anarchy,2014-07-17,39923441,Q15728784,6.649,36.694,111928365,119353
Terminator Salvation,2009-05-20,13670373,Q191543,6.0,40.434,371353001,224695
There Will Be Blood,2007-12-26,3213691,Q244315,8.085,28.909,77208711,550451
Batman Returns,1992-06-19,4728,Q189054,6.913,29.261,280000000,285264
This Is the End,2013-06-12,35056679,Q607363,6.222,37.315,126041322,154627
Horrible Bosses,2011-07-08,28386410,Q908556,6.565,25.142,209838559,130852
The Chronicles of Narnia: Prince Caspian,2008-05-15,1882179,Q222023,6.616,39.516,419665568,109207
Rear Window,1954-08-01,74577,Q34414,8.359,27.612,37034514,244582
It Follows,2014-09-24,44202021,Q16547881,6.56,35.095,14674076,405183
Atomic Blonde,2017-07-26,48251416,Q21528112,6.4,19.968,100014025,144625
Ocean's Thirteen,2007-06-05,3723947,Q635632,6.72,31.629,311312624,166702
Jackie Brown,1997-12-25,394792,Q431252,7.353,22.8,39673162,320048
Gremlins,1984-06-08,382387,Q241958,7.09,28.718,153083102,370740
Rain Man,1988-12-12,129368,Q188845,7.756,21.798,354825435,337628
Gattaca,1997-09-07,42886,Q491800,7.548,25.598,12532777,297371
"Love, Simon",2018-02-16,53272299,Q29169280,8.041,19.843,66316289,110786
The Hitman's Bodyguard,2017-08-16,48465579,Q23796644,6.891,28.214,176586701,102283
Transformers: The Last Knight,2017-06-16,44422168,Q24251026,6.059,44.968,605425157,326229
Happy Death Day,2017-10-12,53835973,Q29514884,6.638,17.251,125479266,149547
